product_id,product_name,category_id,product_category
235,C/C++ Integrated Development Environments (IDE),13,Development
236,CAD Data Exchange Software,6,CAD & PLM
237,CAD Libraries,6,CAD & PLM
238,CAD Software,6,CAD & PLM
239,CAD Viewers,6,CAD & PLM
240,Calendar Software,26,Office
241,Calibration Software,16,ERP
242,Call & Contact Center Software,10,Customer Service
243,Call Center Infrastructure (CCI) Software,10,Customer Service
244,Call Compliance Software,17,"Governance, Risk & Compliance"
245,Camp Management Software,41,Vertical Industry
246,Candidate Relationship Management Software,20,HR
247,Cannabis Industry Software,41,Vertical Industry
248,Capital Project Management Software,16,ERP
249,Car Dealer Software,41,Vertical Industry
250,Car Rental Software,41,Vertical Industry
251,Career Management Software,20,HR
252,Cash Flow Management Software,16,ERP
253,Catalog Management Software,8,Commerce
254,Catering Software,41,Vertical Industry
255,Cemetery Software,41,Vertical Industry
256,Ceridian Consulting Providers,28,Professional Services
257,Certificate Lifecycle Management (CLM) Software,31,Security
258,Channel Management Software,41,Vertical Industry
259,Chatbots Software,3,Artificial Intelligence
260,Child Care Software,41,Vertical Industry
261,Chiropractic Software,41,Vertical Industry
262,Church Management Software,41,Vertical Industry
263,Church Presentation Software,41,Vertical Industry
264,CI/CD Tools,13,Development
265,Cisco Channel Partners,40,Value-Added Resellers (VARs)
266,Cisco Cloud Resellers,40,Value-Added Resellers (VARs)
267,Cisco Data Center Resellers,40,Value-Added Resellers (VARs)
268,Cisco Hardware Resellers,40,Value-Added Resellers (VARs)
269,Cisco Unified Communications Resellers,40,Value-Added Resellers (VARs)
270,Citizen Engagement Software,41,Vertical Industry
271,Citizen Request Software,41,Vertical Industry
272,Civil Engineering Design Software,6,CAD & PLM
273,Classroom Management Software,41,Vertical Industry
274,Classroom Messaging Software,41,Vertical Industry
275,Cleaning Services Software,41,Vertical Industry
276,Click Fraud Software,14,Digital Advertising
277,Client Onboarding Software,16,ERP
278,Client Portal Software,9,Content Management
279,Clinical Communication and Collaboration Software,41,Vertical Industry
280,Clinical Decision Support,41,Vertical Industry
281,Clinical Documentation Software,41,Vertical Industry
282,Clinical Research Software,41,Vertical Industry
283,Clinical Trial Management Software,41,Vertical Industry
284,Closed Captioning Services,39,Translation Services
285,Cloud Access Security Broker (CASB) Software,31,Security
286,Cloud Compliance Software,31,Security
287,Cloud Computing Platforms Software,22,IT Infrastructure
288,Cloud Consulting Providers,28,Professional Services
289,Cloud Content Collaboration Software,9,Content Management
290,Cloud Cost Management Software,23,IT Management
291,Cloud Data Integration Software,22,IT Infrastructure
292,Cloud Data Security Software,31,Security
293,Cloud DDoS Mitigation Software,31,Security
294,Cloud Directory Services,31,Security
295,Cloud Edge Security Software,31,Security
296,Cloud Email Security Solutions,31,Security
297,Cloud File Security Software,31,Security
298,Cloud File Storage Software,22,IT Infrastructure
299,Cloud Infrastructure Automation Software,13,Development
300,Cloud Infrastructure Monitoring Software,22,IT Infrastructure
301,Cloud Kitchen Management Software,41,Vertical Industry
302,Cloud Management Platforms,23,IT Management
303,Cloud Migration Assessment Tools,23,IT Management
304,Cloud Migration Services Providers,28,Professional Services
305,Cloud Migration Software,22,IT Infrastructure
306,Cloud Platform as a Service (PaaS) Software,13,Development
307,Cloud Security Monitoring and Analytics Software,31,Security
308,Cloud Security Posture Management (CSPM) Software,31,Security
309,Cloud Security Software,31,Security
310,Cloud Storage Hardware,36,Storage
311,Cloud Workload Protection Platforms,31,Security
312,CMMS Software,16,ERP
313,CMS Tools,9,Content Management
314,Co-Browsing Software,10,Customer Service
315,Coaching Software,41,Vertical Industry
316,Collaboration Tools Software,7,Collaboration & Productivity
317,Collaborative Whiteboard Software,7,Collaboration & Productivity
318,Collections Management Software,41,Vertical Industry
319,Columnar Databases,23,IT Management
320,Commenting Systems,9,Content Management
321,"Commodity/Energy Trading, Transaction, and Risk Management (CTRM/ETRM) Software",37,Supply Chain & Logistics
322,Communication Platform as a Service (cPaaS) Platforms,13,Development
323,Communications and Media Software,41,Vertical Industry
324,Community Association Management Software,41,Vertical Industry
325,Compensation Management Software,20,HR
326,Competitive Intelligence Software,24,Marketing
327,Complaint Management Software,10,Customer Service
328,Component Content Management Systems,9,Content Management
329,Component Libraries Software,13,Development
330,Computer-Aided Manufacturing Software,6,CAD & PLM
331,Computer-Assisted Translation Software,9,Content Management
332,Concierge Software,41,Vertical Industry
333,Confidentiality Software,31,Security
334,Configuration Management Software,13,Development
335,Conflict Check Software,41,Vertical Industry
336,Connected Agriculture Software,41,Vertical Industry
337,Connected Car Software,41,Vertical Industry
338,Connected Worker Platforms,21,IoT Management
339,Consent Management Platforms,11,Data Privacy
340,Constant Contact Consulting Providers,28,Professional Services
341,Construction Accounting Software,41,Vertical Industry
342,Construction CRM Software,41,Vertical Industry
343,Construction Data Analytics Software,41,Vertical Industry
344,Construction Drawing Management Software,41,Vertical Industry
345,Construction ERP Software,41,Vertical Industry
346,Construction Estimating Software,41,Vertical Industry
347,Construction Loan Management Software,41,Vertical Industry
348,Construction Management Software,41,Vertical Industry
349,Construction Project Management Software,41,Vertical Industry
350,Construction Risk Assessment Software,41,Vertical Industry
351,Construction Software,41,Vertical Industry
352,Consumer Video Feedback Software,24,Marketing
353,Contact Center Consulting Providers,5,Business Services
354,Contact Center Knowledge Base Software,10,Customer Service
355,Contact Center Outsourcing Service Providers,5,Business Services
356,Contact Center Quality Assurance Software,10,Customer Service
357,Contact Center Software,10,Customer Service
358,Contact Center Workforce Software,10,Customer Service
359,Contact Management Software,30,Sales
360,Container Engine Software,13,Development
361,Container Management Software,13,Development
362,Container Monitoring Software,13,Development
363,Container Networking Software,13,Development
364,Container Orchestration Software,13,Development
365,Container Registry Software,13,Development
366,Container Security Software,31,Security
367,Containerization Software,13,Development
368,Content Analytics Software,24,Marketing
369,Content Creation Software,24,Marketing
370,Content Curation Software,24,Marketing
371,Content Delivery Network (CDN) Software,19,Hosting
372,Content Distribution Software,24,Marketing
373,Content Editing Services Providers,28,Professional Services
374,Content Experience Platforms,24,Marketing
375,Content Marketing Agencies,25,Marketing Services
376,Content Marketing Software,24,Marketing
377,Content Writing Services Providers,28,Professional Services
378,Continuous Delivery Software,13,Development
379,Continuous Integration Tools,13,Development
380,Continuous Testing Platforms Software,13,Development
381,Contract Analytics Software,30,Sales
382,Contract Lifecycle Management (CLM) Software,30,Sales
383,Contract Management Software,30,Sales
384,Contractor Management Software,20,HR
385,Contractor Payment Software,20,HR
386,Conversation Intelligence Software,30,Sales
387,Conversational Intelligence Software,3,Artificial Intelligence
388,Conversational Marketing Software,24,Marketing
389,Conversational Support Software,10,Customer Service
390,Conversion Rate Optimization Software,24,Marketing
391,Cookie Tracking Software,11,Data Privacy
392,Core Administrative Processing Systems Software,41,Vertical Industry
393,Core Banking Software,41,Vertical Industry
394,Core HR Software,20,HR
395,Corporate Entity Management Software,17,"Governance, Risk & Compliance"
396,Corporate Law Firms,5,Business Services
397,Corporate Learning Management Systems,20,HR
398,Corporate LMS Software,7,Collaboration & Productivity
399,Corporate Performance Management (CPM) Software,16,ERP
400,Corporate Social Responsibility (CSR) Software,20,HR
401,Corporate Tax Software,16,ERP
402,Corporate Volunteering Platforms,20,HR
403,Corporate Wellness Consulting Providers,5,Business Services
404,Corporate Wellness Software,20,HR
405,Courier Software,41,Vertical Industry
406,Course Authoring Software,20,HR
407,Court Management Software,41,Vertical Industry
408,Coworking Spaces,27,Other Services
409,CPQ Software,30,Sales
410,Creative Management Platforms,14,Digital Advertising
411,Creative Portfolio Management Software,12,Design
412,Creative Services Providers,28,Professional Services
413,Credit and Collections Software,16,ERP
414,Crime Analytics Software,41,Vertical Industry
415,CRM Software,30,Sales
416,Crop Management Software,41,Vertical Industry
417,Cross Border E-Commerce Software,37,Supply Chain & Logistics
418,Cross-Channel Advertising Software,14,Digital Advertising
419,Cross-Platform Developers,28,Professional Services
420,Crowd Testing Tools,13,Development
421,Cryptocurrency Custody Software,22,IT Infrastructure
422,Cryptocurrency Exchanges,22,IT Infrastructure
423,Cryptocurrency Mining Software,22,IT Infrastructure
424,Cryptocurrency Payment Apps,22,IT Infrastructure
425,Cryptocurrency Remittance Software,22,IT Infrastructure
426,Cryptocurrency Software,22,IT Infrastructure
427,Cryptocurrency Wallets,22,IT Infrastructure
428,Currency Exchange Bureau Software,41,Vertical Industry
429,Curriculum Management Software,41,Vertical Industry
430,Customer Advocacy Software,24,Marketing
431,Customer Communications Management Software,10,Customer Service
432,Customer Data Platforms (CDP),24,Marketing
433,Customer Education Software,10,Customer Service
434,Customer Identity and Access Management (CIAM) Software,31,Security
435,Customer Journey Analytics Software,24,Marketing
436,Customer Journey Mapping Software,24,Marketing
437,Customer Revenue Optimization (CRO) Software,30,Sales
438,Customer Self-Service Software,10,Customer Service
439,Customer Service Software,10,Customer Service
440,Customer Success Software,10,Customer Service
441,Customer Success Training Providers,5,Business Services
442,Customer-to-Customer (C2C) Community Marketing Software,24,Marketing
443,Cybersecurity Consulting Providers,32,Security and Privacy Services
444,Dark Web Monitoring Tools,31,Security
445,Data Breach Notification Software,11,Data Privacy
446,Data Center Infrastructure Management (DCIM) Software,22,IT Infrastructure
447,Data Center Infrastructure Providers,5,Business Services
448,Data Center Networking Solutions,22,IT Infrastructure
449,Data Center Security Software,31,Security
450,Data Center Switches,38,Switches
451,Data Clean Room Software,11,Data Privacy
452,Data De-identification Software,11,Data Privacy
453,Data Destruction Software,23,IT Management
454,Data Entry Services Providers,35,Staffing Services
455,Data Exchange Software,22,IT Infrastructure
456,Data Extraction Services Providers,28,Professional Services
457,Data Extraction Software,23,IT Management
458,Data Fabric Software,22,IT Infrastructure
459,Data Governance Services Providers,28,Professional Services
460,Data Governance Software,23,IT Management
461,Data Integration Software,22,IT Infrastructure
462,Data Labeling Services,28,Professional Services
463,Data Labeling Software,3,Artificial Intelligence
464,Data Loss Prevention (DLP) Software,31,Security
465,Data Management Platforms,22,IT Infrastructure
466,Data Management Platforms (DMP),14,Digital Advertising
467,Data Mapping Software,22,IT Infrastructure
468,Data Masking Software,31,Security
469,Data Observability Software,23,IT Management
470,Data Preparation Software,22,IT Infrastructure
471,Data Privacy Management Software,11,Data Privacy
472,Data Privacy Services Providers,32,Security and Privacy Services
473,Data Quality Software,22,IT Infrastructure
474,Data Recovery Software,23,IT Management
475,Data Replication Software,23,IT Management
476,Data Science and Machine Learning Platforms,3,Artificial Intelligence
477,Data Security Services Providers,32,Security and Privacy Services
478,Data Security Software,31,Security
479,Data Subject Access Request (DSAR) Software,11,Data Privacy
480,Data Virtualization Software,1,Analytics
481,Data Visualization Libraries Software,13,Development
482,Data Visualization Software,1,Analytics
483,Data Warehouse Automation Software,22,IT Infrastructure
484,Data Warehouse Software,22,IT Infrastructure
485,Data-Centric Security Software,31,Security
486,Database as a Service (DBaaS) Provider,22,IT Infrastructure
487,Database Backup Software,23,IT Management
488,Database Comparison Software,22,IT Infrastructure
489,Database DevOps Software,13,Development
490,Database Management Systems (DBMS),22,IT Infrastructure
491,Database Monitoring Tools,22,IT Infrastructure
492,Database Security Software,31,Security
493,Database Software,22,IT Infrastructure
494,DataOps Platforms,22,IT Infrastructure
495,DDoS Protection Software,31,Security
496,Decentralized Identity Solutions,31,Security
497,Deception Technology Software,31,Security
498,Decision Management Platforms,23,IT Management
499,Decision-Making Software,7,Collaboration & Productivity
500,Deep Learning Software,3,Artificial Intelligence
501,Deltek Channel Partners,40,Value-Added Resellers (VARs)
502,Demand Generation Software,24,Marketing
503,Demand Planning Software,37,Supply Chain & Logistics
504,Demand Side Platform (DSP),14,Digital Advertising
505,Dental Imaging Software,41,Vertical Industry
506,Dental Practice Management Software,41,Vertical Industry
507,Dental Software,41,Vertical Industry
508,Design Systems Software,9,Content Management
509,Desktop as a Service (DaaS) Providers,22,IT Infrastructure
510,Desktop Database Software,22,IT Infrastructure
511,Desktop Publishing Software,12,Design
512,Desktop Search Software,9,Content Management
513,Development Services Providers,28,Professional Services
514,DevOps Platforms,13,Development
515,DevOps Software,13,Development
516,DevSecOps Software,31,Security
517,Diagramming Software,12,Design
518,Digital Accessibility Platforms,9,Content Management
519,Digital Accessibility Tools,9,Content Management
520,Digital Adoption Platforms,7,Collaboration & Productivity
521,Digital Analytics Software,24,Marketing
522,Digital Asset Management Software,9,Content Management
523,Digital Audio Advertising Software,14,Digital Advertising
524,Digital Banking Platforms,41,Vertical Industry
525,Digital Credential Management Software,20,HR
526,Digital Customer Onboarding Software,41,Vertical Industry
527,Digital Customer Service Platforms,10,Customer Service
528,Digital Document Destruction Services Providers,28,Professional Services
529,Digital Employee Experience (DEX) Management Software,23,IT Management
530,Digital Experience Monitoring (DEM) Software,23,IT Management
531,Digital Experience Platforms (DXP),9,Content Management
532,Digital Forensics Software,31,Security
533,Digital Governance Software,23,IT Management
534,Digital Learning Platforms,41,Vertical Industry
535,Digital Marketing Services,25,Marketing Services
536,Digital Mortgage Closing Software,41,Vertical Industry
537,Digital Process Automation (DPA) Software,23,IT Management
538,Digital Rights Management (DRM) Software,9,Content Management
539,Digital Sales Room Software,30,Sales
540,Digital Signage Software,24,Marketing
541,Digital Transformation Consulting Providers,28,Professional Services
542,Digital Twin Software,21,IoT Management
543,Digital Wayfinding Software,26,Office
544,Direct Mail Automation Software,24,Marketing
545,Direct Store Delivery Software,37,Supply Chain & Logistics
546,Disaster Recovery as a Service (DRaaS) Solutions,23,IT Management
547,Disaster Recovery Software,23,IT Management
548,Disclosure Management Software,17,"Governance, Risk & Compliance"
549,Discrete ERP Software,16,ERP
550,Disease Management Software,41,Vertical Industry
551,Disinformation Detection Tools,31,Security
552,Disk Cleanup Software,23,IT Management
553,Dispensary POS Systems,41,Vertical Industry
554,Display Ad Design Software,12,Design
555,Display Advertising Software,14,Digital Advertising
556,Distribution ERP Software,16,ERP
557,Distribution Software,37,Supply Chain & Logistics
558,Diversity & Inclusion Consulting Providers,5,Business Services
559,Diversity Recruiting Software,20,HR
560,DMARC Software,31,Security
561,DNS Security Software,31,Security
562,Document Creation Software,26,Office
563,Document Databases,22,IT Infrastructure
564,Document Generation Software,16,ERP
565,Document Management Software,7,Collaboration & Productivity
566,Document Scanning Services Providers,28,Professional Services
567,Document Scanning Software,26,Office
568,Document Translation Services,39,Translation Services
569,Domain Registration Providers,19,Hosting
570,Donor Management Software,41,Vertical Industry
571,Donor Prospect Research Software,41,Vertical Industry
572,Dotdigital Consulting Providers,28,Professional Services
573,Drag and Drop App Builder Software,13,Development
574,Drawing Software,12,Design
575,Drift Consulting Providers,28,Professional Services
576,Driving School Software,41,Vertical Industry
577,Drone Analytics Software,1,Analytics
578,Drop Shipping Software,8,Commerce
579,Drug Discovery Software,41,Vertical Industry
580,Drug Inventory Management Software,41,Vertical Industry
581,Drug Testing Software,20,HR
582,Drupal Development Companies,28,Professional Services
583,Dry Cleaning Software,41,Vertical Industry
584,Dynamic Application Security Testing (DAST) Software,31,Security
585,Dynamic Yield Consulting Providers,28,Professional Services
586,E-Commerce Analytics Software,8,Commerce
587,E-Commerce Data Integration Software,22,IT Infrastructure
588,E-Commerce Development Companies,28,Professional Services
589,E-commerce Fraud Protection Software,8,Commerce
590,E-Commerce Personalization Software,8,Commerce
591,E-Commerce Platforms,8,Commerce
592,E-Commerce Search Software,8,Commerce
593,E-Commerce Software,8,Commerce
594,E-Commerce Tools,8,Commerce
595,E-Filing Platforms,41,Vertical Industry
596,E-Merchandising Software,8,Commerce
597,E-Notary Software,41,Vertical Industry
598,E-Prescribing Software,41,Vertical Industry
599,E-Signature Software,30,Sales
600,Earned Value Management Software,16,ERP
601,Earned Wage Access Software,20,HR
602,Earthworks Software,41,Vertical Industry
603,Edge Routers,29,Routers
604,eDiscovery Software,41,Vertical Industry
605,Editor Software,13,Development
606,Education ERP Software,41,Vertical Industry
607,Education ERP Suites,41,Vertical Industry
608,Education ERP Systems Software,41,Vertical Industry
609,Education Finance Software,41,Vertical Industry
610,Education HR Software,41,Vertical Industry
611,Education Software,41,Vertical Industry
612,EHR Software,41,Vertical Industry
613,eLearning Content Software,20,HR
614,eLearning Localization Providers,39,Translation Services
615,Electronic Data Capture (EDC) Software,41,Vertical Industry
616,Electronic Data Interchange (EDI) Software,22,IT Infrastructure
617,Electronic Lab Notebook (ELN) Software,41,Vertical Industry
618,Email Anti-spam Software,31,Security
619,Email Archiving Software,23,IT Management
620,Email Client Software,26,Office
621,Email Deliverability Software,24,Marketing
622,Email Encryption Software,31,Security
623,Email Management Software,26,Office
624,Email Marketing Services Providers,25,Marketing Services
625,Email Marketing Software,24,Marketing
626,Email Marketing Software,24,Marketing
627,Email Security Services Providers,32,Security and Privacy Services
628,Email Security Software,31,Security
629,Email Signature Software,24,Marketing
630,Email Software,26,Office
631,Email Template Builder Software,24,Marketing
632,Email Testing Software,24,Marketing
633,Email Tracking Software,30,Sales
634,Email Verification Software,26,Office
635,Emarsys Consulting Providers,28,Professional Services
636,Embedded Business Intelligence Software,1,Analytics
637,Embedded Integration Platforms,22,IT Infrastructure
638,Emergency Management Software,41,Vertical Industry
639,Emergency Medical Services Software,41,Vertical Industry
640,Emergency Notification Software,26,Office
641,Employee Advocacy Software,24,Marketing
642,Employee Communications Software,7,Collaboration & Productivity
643,Employee Engagement Software,20,HR
644,Employee Identity Theft Protection Software,31,Security
645,Employee Intranet Software,7,Collaboration & Productivity
646,Employee Monitoring Software,10,Customer Service
647,Employee Recognition Software,20,HR
648,Employee Referral Software,20,HR
649,Employee Scheduling Software,20,HR
650,Employer of Record (EOR) Services,5,Business Services
651,Encryption Key Management Software,31,Security
652,Encryption Software,31,Security
653,Endpoint Detection & Response (EDR) Software,31,Security
654,Endpoint Management Software,31,Security
655,Endpoint Protection Platforms Software,31,Security
