major_id,major_name,field_study_id,is_stem,field_study_name
63, Applied Mathematics,27,TRUE,Mathematics & Statistics
64, Applied Physics,36,TRUE,Physical Sciences
65, Applied Psychology,38,TRUE,Psychology
66, Applied Statistics,27,TRUE,Mathematics & Statistics
67, Arabic Language,16,,"Foreign Languages, Literature & Linguistics"
68, Archaeology,43,,Social Sciences
69, Architectural Drafting,13,TRUE,Engineering Technologies
70, Architectural Engineering,12,TRUE,Engineering
71, Architectural Studies,2,TRUE,Architecture & Related Services
72, Architectural Technology,2,TRUE,Architecture & Related Services
73, Architecture,2,TRUE,Architecture & Related Services
74, Archives Management,26,,Library Science
75, Army ROTC,29,,"Military Science, Leadership & Operational Art"
76, Art,46,,Visual & Performing Arts
77, Art & Design,46,,Visual & Performing Arts
78, Art Administration,46,,Visual & Performing Arts
79, Art History,46,,Visual & Performing Arts
80, Art Teacher Education,11,,Education
81, Artificial Intelligence,9,TRUE,Computer & Information Sciences
82, Arts & Science,25,,"Liberal Arts & Sciences, General Studies & Humanities"
83, Arts Management,46,,Visual & Performing Arts
84, Asian American Studies,3,,"Area, Ethnic, Cultural, Gender & Group Studies"
85, Asian History,21,,History
86, Asian Studies,3,,"Area, Ethnic, Cultural, Gender & Group Studies"
87, Astronomy,36,TRUE,Physical Sciences
88, Astrophysics,36,TRUE,Physical Sciences
89, Athletic Training,18,,Health Professions & Related Programs
90, Atmospheric Science,36,TRUE,Physical Sciences
91, Audio Engineering,8,TRUE,Communications Technologies
92, Audio Production,8,TRUE,Communications Technologies
93, Audio Technology,8,TRUE,Communications Technologies
94, Auto Body Repair Technology,28,,Mechanic & Repair Technologies
95, Automotive & Diesel Technology,28,,Mechanic & Repair Technologies
96, Automotive Engineering,13,TRUE,Engineering Technologies
97, Automotive Technology,28,,Mechanic & Repair Technologies
98, Automotive Technology & Service Management,28,,Mechanic & Repair Technologies
99, Aviation Maintenance Technology,28,,Mechanic & Repair Technologies
100, Aviation Management,45,,Transportation & Materials Moving
101, Aviation Safety Management,45,,Transportation & Materials Moving
102, Aviation Science & Administration (AVA),45,,Transportation & Materials Moving
103, Aviation Technology,28,,Mechanic & Repair Technologies
104, Avionics Systems Technology,28,,Mechanic & Repair Technologies
105, Avionics Technology,28,,Mechanic & Repair Technologies
106, Baking,34,,Personal & Culinary Services
107, Baking & Pastry Arts,34,,Personal & Culinary Services
108, Baking & Patisserie,34,,Personal & Culinary Services
109, Barbering,34,,Personal & Culinary Services
110, Bartending,34,,Personal & Culinary Services
111, Basic Computer Skills,4,,Basic Skills & Developmental or Remedial Education
112, Basic Skills / Remedial Education,4,,Basic Skills & Developmental or Remedial Education
113, Beauty Therapy,34,,Personal & Culinary Services
114, Behavioral Science,31,,Multi or Interdisciplinary Studies
115, Bible Studies & Theology,44,,Theology & Religious Vocations
116, Biblical Studies,44,,Theology & Religious Vocations
117, Biblical Studies & Practical Ministries,44,,Theology & Religious Vocations
118, Biochemistry (BCH),5,TRUE,Biological & Biomedical Sciences
119, Biochemistry & Molecular Biology,5,TRUE,Biological & Biomedical Sciences
120, Bioengineering (BioE),12,TRUE,Engineering
121, Bioenvironmental Science,32,TRUE,Natural Resources & Conservation
122, Bioinformatics,5,TRUE,Biological & Biomedical Sciences
123, Biological Sciences,5,TRUE,Biological & Biomedical Sciences
124, Biology,5,TRUE,Biological & Biomedical Sciences
125, Biology & Chemistry,5,TRUE,Biological & Biomedical Sciences
126, Biomedical Engineering (BME),12,TRUE,Engineering
127, Biomedical Equipment Technology,13,TRUE,Engineering Technologies
128, Biomedical Sciences,5,TRUE,Biological & Biomedical Sciences
129, Biophysics,5,TRUE,Biological & Biomedical Sciences
130, Biopsychology,31,,Multi or Interdisciplinary Studies
131, Biostatistics,5,TRUE,Biological & Biomedical Sciences
132, Biotechnology,5,TRUE,Biological & Biomedical Sciences
133, Boilermaking,37,,Precision Production
134, Book & Magazine Publishing,8,TRUE,Communications Technologies
135, Botany,5,TRUE,Biological & Biomedical Sciences
136, Broadcast Communication,7,,"Communication, Journalism & Related Programs"
137, Broadcast Journalism,7,,"Communication, Journalism & Related Programs"
138, Broadcasting Technology,8,TRUE,Communications Technologies
139, Building & Trades,10,,Construction Trades
140, Building Construction (BC),10,,Construction Trades
141, Building Construction Management,10,,Construction Trades
142, Building Construction Management Technology,10,,Construction Trades
143, Building Maintenance,10,,Construction Trades
144, Business & Healthcare Management,18,,Health Professions & Related Programs
145, Business & Marketing,6,,"Business, Management & Marketing"
146, Business & Sustainability,31,,Multi or Interdisciplinary Studies
147, Business Administration,6,,"Business, Management & Marketing"
148, Business Data Analysis,6,,"Business, Management & Marketing"
149, Business Law,23,,Legal Professions & Studies
150, Business Management,6,,"Business, Management & Marketing"
151, Cabinet Making,10,,Construction Trades
152, Cabinetmaking and Millwork,37,,Precision Production
153, Cardio Thoracic Surgery,40,,Residency Programs
154, Cardiology,40,,Residency Programs
155, Carpentry,10,,Construction Trades
156, Carpet,10,,Construction Trades
157, Cell & Molecular Biology,5,TRUE,Biological & Biomedical Sciences
158, Cell Biology,5,TRUE,Biological & Biomedical Sciences
159, Chemical & Biomolecular Engineering,12,TRUE,Engineering
160, Chemical Engineering,12,TRUE,Engineering
161, Chemical Process Technology,41,TRUE,Science Technologies
162, Chemical Technology,41,TRUE,Science Technologies
163, Chemistry,36,TRUE,Physical Sciences
164, Child & Family Development,15,,Family & Consumer Sciences or Human Sciences
165, Child & Family Studies,15,,Family & Consumer Sciences or Human Sciences
166, Child & Youth Worker,39,,Public Administration & Social Service Professions
167, Child Development,15,,Family & Consumer Sciences or Human Sciences
168, Children's Services,39,,Public Administration & Social Service Professions
169, Chinese Language,16,,"Foreign Languages, Literature & Linguistics"
170, Chinese Literature,16,,"Foreign Languages, Literature & Linguistics"
171, Chinese Studies,3,,"Area, Ethnic, Cultural, Gender & Group Studies"
172, Christian Education,44,,Theology & Religious Vocations
173, Christian Ministry,44,,Theology & Religious Vocations
174, Christian Studies,35,,Philosophy & Religious Studies
175, Church Ministries,44,,Theology & Religious Vocations
176, Cinema Studies,46,,Visual & Performing Arts
177, City & Regional Planning,2,TRUE,Architecture & Related Services
178, Civil & Environmental Engineering,12,TRUE,Engineering
179, Civil Engineering (CE),12,TRUE,Engineering
180, Civil Engineering Technology (CET),13,TRUE,Engineering Technologies
181, Classical Civilization,31,,Multi or Interdisciplinary Studies
182, Classical Studies,31,,Multi or Interdisciplinary Studies
183, Classics,31,,Multi or Interdisciplinary Studies
184, Clinical Psychology,38,TRUE,Psychology
185, Clinical Social Work (CSW),18,,Health Professions & Related Programs
186, Coaching,33,,"Parks, Recreation, Leisure & Fitness Studies"
187, Cognitive Science,31,,Multi or Interdisciplinary Studies
188, Collecting,24,,Leisure & Recreational Activities
189, College Student Personnel,11,,Education
190, Collision Repair,28,,Mechanic & Repair Technologies
191, Communication,7,,"Communication, Journalism & Related Programs"
192, Communication Arts,7,,"Communication, Journalism & Related Programs"
193, Communication Design,46,,Visual & Performing Arts
194, Communication Sciences & Disorders,18,,Health Professions & Related Programs
195, Communication Studies & Journalism,7,,"Communication, Journalism & Related Programs"
196, Communications Technology,8,TRUE,Communications Technologies
197, Community & Human Services,15,,Family & Consumer Sciences or Human Sciences
198, Community & Regional Development,2,TRUE,Architecture & Related Services
199, Community Development,39,,Public Administration & Social Service Professions
200, Community Health,18,,Health Professions & Related Programs
201, Community Health Education,18,,Health Professions & Related Programs
202, Community Organization and Advocacy,39,,Public Administration & Social Service Professions
203, Community Studies,39,,Public Administration & Social Service Professions
204, Comparative History of Ideas,21,,History
205, Comparative Literature,16,,"Foreign Languages, Literature & Linguistics"
206, Computational & Applied Mathematics,27,TRUE,Mathematics & Statistics
207, Computational Linguistics,16,,"Foreign Languages, Literature & Linguistics"
208, Computational Mathematics,27,TRUE,Mathematics & Statistics
209, Computational Science,31,TRUE,Multi or Interdisciplinary Studies
210, Computer & Network Administration,9,TRUE,Computer & Information Sciences
211, Computer Aided Drafting (CAD),13,TRUE,Engineering Technologies
212, Computer Aided Drafting & Design (CADD),13,TRUE,Engineering Technologies
213, Computer Engineering (CE),12,TRUE,Engineering
214, Computer Engineering Technology (CET),13,TRUE,Engineering Technologies
215, Computer Forensics,42,,Security & Protective Services
216, Computer Games & Programming Skills,24,,Leisure & Recreational Activities
217, Computer Graphics Technology (CGT),9,TRUE,Computer & Information Sciences
218, Computer Information Systems (CIS),9,TRUE,Computer & Information Sciences
219, Computer Networking Systems,9,TRUE,Computer & Information Sciences
220, Computer Programming,9,TRUE,Computer & Information Sciences
221, Computer Repair Technology,28,,Mechanic & Repair Technologies
222, Computer Science (CS),9,TRUE,Computer & Information Sciences
223, Computer Science (CS) & Engineering,12,TRUE,Engineering
224, Computer Science (CS) & Mathematics,31,,Multi or Interdisciplinary Studies
225, Computer Science & Information Technology,9,TRUE,Computer & Information Sciences
226, Computing,9,TRUE,Computer & Information Sciences
227, Concrete Finishing,10,,Construction Trades
228, Conflict Resolution,31,,Multi or Interdisciplinary Studies
229, Conservation Biology,5,TRUE,Biological & Biomedical Sciences
230, Construction Electrician Studies,10,,Construction Trades
231, Construction Engineering Technology,13,TRUE,Engineering Technologies
232, Construction Management,6,,"Business, Management & Marketing"
233, Construction Science,2,TRUE,Architecture & Related Services
234, Construction Technology,10,,Construction Trades
235, Construction Trades,10,,Construction Trades
236, Consumer Affairs,15,,Family & Consumer Sciences or Human Sciences
237, Consumer Economics,15,,Family & Consumer Sciences or Human Sciences
238, Corporate Law,23,,Legal Professions & Studies
239, Corrections Studies,42,,Security & Protective Services
240, Cosmetology,34,,Personal & Culinary Services
241, Counseling,38,TRUE,Psychology
242, Counseling Psychology,38,TRUE,Psychology
243, Court Reporting,23,,Legal Professions & Studies
244, Creative Writing,14,,English Language & Literature or Letters
245, Criminal Justice,42,,Security & Protective Services
246, Criminal Justice Administration,42,,Security & Protective Services
247, Criminology,43,,Social Sciences
248, Crisis & Emergency Management,42,,Security & Protective Services
249, Crop Science,1,TRUE,Agriculture & Related Sciences
250, Culinary Arts,34,,Personal & Culinary Services
251, Culinary Arts & Culinary Management,34,,Personal & Culinary Services
252, Culinary Management,34,,Personal & Culinary Services
253, Culinary Nutrition,34,,Personal & Culinary Services
254, Culinary Science,34,,Personal & Culinary Services
255, Cultural Anthropology,43,,Social Sciences
256, Culture Studies,31,,Multi or Interdisciplinary Studies
257, Curriculum & Instruction,11,,Education
258, Cyber/Electronic Operations & Warfare,30,,Military Technologies & Applied Sciences
259, Cybersecurity,17,,General
260, Dairy Science,1,TRUE,Agriculture & Related Sciences
261, Dance,46,,Visual & Performing Arts
262, Data Processing,9,TRUE,Computer & Information Sciences
263, Database Management,9,TRUE,Computer & Information Sciences
264, Deaf Studies,3,,"Area, Ethnic, Cultural, Gender & Group Studies"
265, Dental Assisting,18,,Health Professions & Related Programs
266, Dental Hygiene,18,,Health Professions & Related Programs
267, Dental Radiology Residency Program,40,,Residency Programs
268, Dental Surgery,40,,Residency Programs
269, Dermatology,40,,Residency Programs
270, Design,46,,Visual & Performing Arts
271, Developmental Psychology,38,TRUE,Psychology
272, Diagnostic Radiology Residency Program,40,,Residency Programs
273, Diesel Engines,28,,Mechanic & Repair Technologies
274, Diesel Repair,28,,Mechanic & Repair Technologies
275, Diesel Technology,28,,Mechanic & Repair Technologies
276, Dietetics,18,,Health Professions & Related Programs
277, Digital Forensics,42,,Security & Protective Services
278, Digital Media,7,,"Communication, Journalism & Related Programs"
279, Digital Media Design,7,,"Communication, Journalism & Related Programs"
280, Direct Practice,39,,Public Administration & Social Service Professions
281, Directed Energy Systems,30,,Military Technologies & Applied Sciences
282, Disability Studies,3,,"Area, Ethnic, Cultural, Gender & Group Studies"
283, Divinity,44,,Theology & Religious Vocations
284, Drafting & Design,13,TRUE,Engineering Technologies
285, Drama,46,,Visual & Performing Arts
286, Drawing & Painting,46,,Visual & Performing Arts
287, Early Childhood & Elementary Education,11,,Education
288, Early Childhood Education,11,,Education
289, Earth & Space Sciences (ESS),36,TRUE,Physical Sciences
290, Earth Science,36,TRUE,Physical Sciences
291, East Asian Studies,3,,"Area, Ethnic, Cultural, Gender & Group Studies"
292, Ecological Management & Restoration,32,TRUE,Natural Resources & Conservation
293, Ecology,5,TRUE,Biological & Biomedical Sciences
294, Econometrics,43,,Social Sciences
295, Economic Crime & Fraud Management,42,,Security & Protective Services
296, Economics,43,,Social Sciences
297, Economics & Political Science,43,,Social Sciences
298, Economics and Mathematics,43,,Social Sciences
299, Ecosystem Restoration & Management,32,TRUE,Natural Resources & Conservation
300, Education,11,,Education
301, Education Policy,39,,Public Administration & Social Service Professions
302, Educational Leadership,11,,Education
303, Educational Psychology,38,TRUE,Psychology
304, Educational Studies (ED),11,,Education
305, Educational Technology (EDT),11,,Education
306, Electrical & Computer Engineering (ECE),12,TRUE,Engineering
307, Electrical & Electronics Engineering (EEE),12,TRUE,Engineering
308, Electrical Engineering (BSEE),9,TRUE,Computer & Information Sciences
309, Electrical Engineering (BSEE),12,TRUE,Engineering
310, Electrical Engineering (BSEE),13,TRUE,Engineering Technologies
311, Electrical Engineering (BSEE),17,,General
312, Electrical Engineering (EE),12,TRUE,Engineering
313, Electrical Wiring,10,,Construction Trades
314, Electrician Studies,10,,Construction Trades
315, Electrology,34,,Personal & Culinary Services
316, Electronics & Communications Engineering,12,TRUE,Engineering
317, Electronics & Computer Technology,13,TRUE,Engineering Technologies
318, Elementary Education,11,,Education
319, Emergency Management,42,,Security & Protective Services
320, Emergency Medical Services (EMS),42,,Security & Protective Services
321, Emergency Medical Technology (EMT),18,,Health Professions & Related Programs
322, Emergency Medicine,40,,Residency Programs
323, Employment Law,23,,Legal Professions & Studies
324, Energy Management,13,TRUE,Engineering Technologies
325, Energy Studies,36,TRUE,Physical Sciences
326, Engineering,12,TRUE,Engineering
327, Engineering Graphics & Design Technology,13,TRUE,Engineering Technologies
328, Engineering Management,13,TRUE,Engineering Technologies
329, Engineering Technology (ET),13,TRUE,Engineering Technologies
330, English & History,14,,English Language & Literature or Letters
331, English Language,14,,English Language & Literature or Letters
332, English Language & Literature,14,,English Language & Literature or Letters
333, English Literature,14,,English Language & Literature or Letters
334, English Literature (Britain & Commonwealth),14,,English Language & Literature or Letters
335, English Teacher Education,11,,Education
336, Enology,1,TRUE,Agriculture & Related Sciences
337, Entrepreneurship,6,,"Business, Management & Marketing"
338, Environmental & Natural Resource Economics,32,TRUE,Natural Resources & Conservation
339, Environmental & Soil Sciences,1,TRUE,Agriculture & Related Sciences
340, Environmental Biology,5,TRUE,Biological & Biomedical Sciences
341, Environmental Design,2,TRUE,Architecture & Related Services
342, Environmental Engineering,12,TRUE,Engineering
343, Environmental Health & Safety,18,,Health Professions & Related Programs
344, Environmental Health & Safety Management,13,TRUE,Engineering Technologies
345, Environmental Horticulture & Urban Forestry,32,TRUE,Natural Resources & Conservation
346, Environmental Management,32,TRUE,Natural Resources & Conservation
347, Environmental Policy Analysis & Planning,32,TRUE,Natural Resources & Conservation
348, Environmental Resource Management,32,TRUE,Natural Resources & Conservation
349, Environmental Science,32,TRUE,Natural Resources & Conservation
350, Environmental Science & Management,32,TRUE,Natural Resources & Conservation
351, Environmental Science & Policy,32,TRUE,Natural Resources & Conservation
352, Environmental Studies,32,TRUE,Natural Resources & Conservation
353, Epidemiology,5,TRUE,Biological & Biomedical Sciences
354, Equine Science,1,TRUE,Agriculture & Related Sciences
355, Equine Studies,1,TRUE,Agriculture & Related Sciences
356, Esthetician Studies,34,,Personal & Culinary Services
357, Ethics,35,,Philosophy & Religious Studies
358, Ethnic Studies,3,,"Area, Ethnic, Cultural, Gender & Group Studies"
359, European History,21,,History
360, European Studies,3,,"Area, Ethnic, Cultural, Gender & Group Studies"
361, Evangelism,44,,Theology & Religious Vocations
362, Evolution,5,TRUE,Biological & Biomedical Sciences
363, Exercise & Sports Science,33,,"Parks, Recreation, Leisure & Fitness Studies"
364, Exercise Physiology,5,TRUE,Biological & Biomedical Sciences
365, Exercise Science,33,,"Parks, Recreation, Leisure & Fitness Studies"
366, Experimental Psychology,38,TRUE,Psychology
367, Facilities Management,15,,Family & Consumer Sciences or Human Sciences
368, Family & Community Services,15,,Family & Consumer Sciences or Human Sciences
369, Family & Consumer Science,15,,Family & Consumer Sciences or Human Sciences
370, Family History - Genealogy,21,,History
371, Family Life Education,15,,Family & Consumer Sciences or Human Sciences
372, Family Medicine,40,,Residency Programs
373, Family Nurse Practitioner (FNP) Studies,18,,Health Professions & Related Programs
374, Family Studies,15,,Family & Consumer Sciences or Human Sciences
375, Fashion,15,,Family & Consumer Sciences or Human Sciences
376, Fashion Design,46,,Visual & Performing Arts
377, Fashion Marketing & Management,15,,Family & Consumer Sciences or Human Sciences
378, Fashion Merchandising,6,,"Business, Management & Marketing"
379, Film Production,46,,Visual & Performing Arts
380, Film Studies,46,,Visual & Performing Arts
381, Finance,6,,"Business, Management & Marketing"
382, Finance & Economics,43,,Social Sciences
383, Financial Mathematics,27,TRUE,Mathematics & Statistics
384, Fine Arts,46,,Visual & Performing Arts
385, Fire Protection Engineering,42,,Security & Protective Services
386, Fire Science,42,,Security & Protective Services
387, Fire Systems Technology,42,,Security & Protective Services
388, Fisheries Science,32,TRUE,Natural Resources & Conservation
389, Fitness,24,,Leisure & Recreational Activities
390, Fitness Management,33,,"Parks, Recreation, Leisure & Fitness Studies"
391, Flagging & Traffic Control,45,,Transportation & Materials Moving
392, Flight Management,45,,Transportation & Materials Moving
393, Flight Technology,45,,Transportation & Materials Moving
394, Food Safety,1,TRUE,Agriculture & Related Sciences
395, Food Science,1,TRUE,Agriculture & Related Sciences
396, Food Science & Technology,1,TRUE,Agriculture & Related Sciences
397, Foods & Nutrition,15,,Family & Consumer Sciences or Human Sciences
398, Foreign Affairs,43,,Social Sciences
399, Foreign Languages,16,,"Foreign Languages, Literature & Linguistics"
400, Foreign Service,25,,"Liberal Arts & Sciences, General Studies & Humanities"
401, Forensic Accounting,42,,Security & Protective Services
402, Forensic Chemistry,36,TRUE,Physical Sciences
403, Forensic Psychology,38,TRUE,Psychology
404, Forensic Science,42,,Security & Protective Services
405, Forest Resources Production & Management,32,TRUE,Natural Resources & Conservation
406, Forest Sciences & Biology,32,TRUE,Natural Resources & Conservation
407, Forestry,32,TRUE,Natural Resources & Conservation
408, Forestry Management,32,TRUE,Natural Resources & Conservation
409, French Language,16,,"Foreign Languages, Literature & Linguistics"
410, French Literature,16,,"Foreign Languages, Literature & Linguistics"
411, French Studies,3,,"Area, Ethnic, Cultural, Gender & Group Studies"
412, Funeral Directing,34,,Personal & Culinary Services
413, Funeral Science,34,,Personal & Culinary Services
414, Funeral Service Education,34,,Personal & Culinary Services
415, Furniture Design,37,,Precision Production
416, Game Design & Development,46,,Visual & Performing Arts
417, Gender Studies,3,,"Area, Ethnic, Cultural, Gender & Group Studies"
418, General Business,6,,"Business, Management & Marketing"
419, General Educational Development (GED),20,,High School or Secondary Diplomas & Certificates
420, General Science,31,,Multi or Interdisciplinary Studies
421, General Studies,25,,"Liberal Arts & Sciences, General Studies & Humanities"
422, General Surgery,40,,Residency Programs
423, Genetics,5,TRUE,Biological & Biomedical Sciences
424, Geochemistry,36,TRUE,Physical Sciences
425, Geographic Information Systems (GIS),43,TRUE,Social Sciences
426, Geography,43,,Social Sciences
427, Geology,36,TRUE,Physical Sciences
428, Geophysics,36,TRUE,Physical Sciences
429, Geosciences,36,TRUE,Physical Sciences
430, Geriatrics,40,,Residency Programs
431, German Language,16,,"Foreign Languages, Literature & Linguistics"
432, German Language & Literature,16,,"Foreign Languages, Literature & Linguistics"
433, German Studies,3,,"Area, Ethnic, Cultural, Gender & Group Studies"
434, Gerontology,31,,Multi or Interdisciplinary Studies
435, Glass-Working,10,,Construction Trades
436, Global & International Studies,31,,Multi or Interdisciplinary Studies
437, Global Studies,31,,Multi or Interdisciplinary Studies
438, Government,43,,Social Sciences
439, Government & Politics,43,,Social Sciences
440, Graphic Communication,8,,Communications Technologies
441, Graphic Communications Management,8,,Communications Technologies
442, Graphic Design,46,,Visual & Performing Arts
443, Gunsmithing,28,,Mechanic & Repair Technologies
444, Hair Design,34,,Personal & Culinary Services
445, Hair Stylist Studies,34,,Personal & Culinary Services
446, Harley-Davidson Maintenance & Repair Technology,28,,Mechanic & Repair Technologies
447, Health,18,,Health Professions & Related Programs
448, Health & Exercise Science,33,,"Parks, Recreation, Leisure & Fitness Studies"
449, Health & Fitness,33,,"Parks, Recreation, Leisure & Fitness Studies"
450, Health & Human Performance,33,,"Parks, Recreation, Leisure & Fitness Studies"
451, Health & Physical Education Teaching,11,,Education
452, Health Care Administration,18,,Health Professions & Related Programs
453, Health Care Management,18,,Health Professions & Related Programs
454, Health Information Technology,18,,Health Professions & Related Programs
455, Health Policy,39,,Public Administration & Social Service Professions
456, Health Promotion,18,,Health Professions & Related Programs
457, Health Sciences,18,,Health Professions & Related Programs
458, Heavy Equipment Technology,28,,Mechanic & Repair Technologies
459, High Performance and Custom Engine Technology,28,,Mechanic & Repair Technologies
460, High School Diploma,20,,High School or Secondary Diplomas & Certificates
461, High School Equivalence Certificate Program,20,,High School or Secondary Diplomas & Certificates
462, Higher Education Administration,11,,Education
463, Hispanic Studies,3,,"Area, Ethnic, Cultural, Gender & Group Studies"
464, Historic Preservation,31,,Multi or Interdisciplinary Studies
465, History,21,,History
466, History & Philosophy of Science & Technology,21,,History
467, History & Political Science,43,,Social Sciences
468, Home Economics,15,,Family & Consumer Sciences or Human Sciences
469, Home Inspection,10,,Construction Trades
470, Homeland Security,42,,Security & Protective Services
471, Horticulture,1,TRUE,Agriculture & Related Sciences
472, Horticulture & Agronomy,1,TRUE,Agriculture & Related Sciences
473, Hospitality & The Culinary Arts,34,,Personal & Culinary Services
474, Hospitality Management,6,,"Business, Management & Marketing"
475, Housing,15,,Family & Consumer Sciences or Human Sciences
476, Human Biology,31,,Multi or Interdisciplinary Studies
477, Human Computer Interaction,31,,Multi or Interdisciplinary Studies
478, Human Development,15,,Family & Consumer Sciences or Human Sciences
479, Human Development & Family Studies,15,,Family & Consumer Sciences or Human Sciences
480, Human Dimensions of Natural Resource Management,32,TRUE,Natural Resources & Conservation
481, Human Ecology,15,,Family & Consumer Sciences or Human Sciences
482, Human Nutrition,15,,Family & Consumer Sciences or Human Sciences
483, Human Performance,33,,"Parks, Recreation, Leisure & Fitness Studies"
484, Human Physiology,5,TRUE,Biological & Biomedical Sciences
485, Human Relations,39,,Public Administration & Social Service Professions
486, Human Resources (HR),17,,General
487, Human Resources Management (HRM),17,,General
488, Human Rights,39,,Public Administration & Social Service Professions
489, Human Services (HS),39,,Public Administration & Social Service Professions
490, Human Services Administration,39,,Public Administration & Social Service Professions
491, Human Services Management,39,,Public Administration & Social Service Professions
492, Humanities,25,,"Liberal Arts & Sciences, General Studies & Humanities"
493, Humanities & Western Civilization,25,,"Liberal Arts & Sciences, General Studies & Humanities"
494, Hydrogeology,36,TRUE,Physical Sciences
495, Hydrology,36,TRUE,Physical Sciences
496, Illustration,46,,Visual & Performing Arts
497, Immunology,5,TRUE,Biological & Biomedical Sciences
498, Individualized,31,,Multi or Interdisciplinary Studies
499, Industrial & Systems Engineering,12,TRUE,Engineering
500, Industrial Design (ID),46,,Visual & Performing Arts
501, Industrial Distribution,13,TRUE,Engineering Technologies
502, Industrial Electronic Technology,28,,Mechanic & Repair Technologies
503, Industrial Engineering (IE),12,TRUE,Engineering
504, Industrial Engineering & Management,13,TRUE,Engineering Technologies
505, Industrial Engineering Technology,13,TRUE,Engineering Technologies
506, Industrial Maintenance Technology,28,,Mechanic & Repair Technologies
507, Industrial Management,13,TRUE,Engineering Technologies
508, Industrial Mechanics & Maintenance Technology,28,,Mechanic & Repair Technologies
509, Industrial Psychology,38,TRUE,Psychology
510, Industrial Technology (IT),13,TRUE,Engineering Technologies
511, Infectious Diseases,40,,Residency Programs
512, Informatics,9,TRUE,Computer & Information Sciences
513, Information Science (IS),9,TRUE,Computer & Information Sciences
514, Information Sciences and Technology,9,TRUE,Computer & Information Sciences
