technology_id,technology_name
496,Zendesk
497,Zergnet
498,Zift Solutions
499,Zimbra
500,ZipRecruiter
501,ZocDoc
502,Zoho Analytics
503,Zoho Books
504,Zoho CRM
505,Zoho Email
506,Zoho SalesIQ
507,Zoho Survey
508,ZoneEdit
509,Zopim
510,Zuora
